Iterations; Iterationswithoutimprovement; Evaluations;caccC1; caccOmegaN; caccXi
138; 125; 552;0.763566; 1.0669; 9.39979
138; 125; 552;0.763566; 1.0669; 9.39979
139; 126; 552;0.763566; 1.0669; 9.39979
139; 126; 556;0.763566; 1.0669; 9.39979
139; 126; 556;0.763566; 1.0669; 9.39979
140; 127; 556;0.763566; 1.0669; 9.39979
140; 127; 560;0.763566; 1.0669; 9.39979
140; 127; 560;0.763566; 1.0669; 9.39979
141; 128; 560;0.763566; 1.0669; 9.39979
141; 128; 564;0.763566; 1.0669; 9.39979
141; 128; 564;0.763566; 1.0669; 9.39979
142; 129; 564;0.763566; 1.0669; 9.39979
142; 129; 568;0.763566; 1.0669; 9.39979
142; 129; 568;0.763566; 1.0669; 9.39979
143; 130; 568;0.763566; 1.0669; 9.39979
143; 130; 572;0.763566; 1.0669; 9.39979
143; 130; 572;0.763566; 1.0669; 9.39979
144; 131; 572;0.763566; 1.0669; 9.39979
144; 131; 576;0.763566; 1.0669; 9.39979
144; 131; 576;0.763566; 1.0669; 9.39979
145; 132; 576;0.763566; 1.0669; 9.39979
145; 132; 580;0.763566; 1.0669; 9.39979
145; 132; 580;0.763566; 1.0669; 9.39979
146; 133; 580;0.763566; 1.0669; 9.39979
146; 133; 584;0.763566; 1.0669; 9.39979
146; 133; 584;0.763566; 1.0669; 9.39979
147; 134; 584;0.763566; 1.0669; 9.39979
147; 134; 588;0.763566; 1.0669; 9.39979
147; 134; 588;0.763566; 1.0669; 9.39979
148; 135; 588;0.763566; 1.0669; 9.39979
148; 135; 592;0.763566; 1.0669; 9.39979
148; 135; 592;0.763566; 1.0669; 9.39979
149; 136; 592;0.763566; 1.0669; 9.39979
149; 136; 596;0.763566; 1.0669; 9.39979
149; 136; 596;0.763566; 1.0669; 9.39979
150; 137; 596;0.763566; 1.0669; 9.39979
150; 137; 600;0.763566; 1.0669; 9.39979
150; 137; 600;0.763566; 1.0669; 9.39979
151; 138; 600;0.763566; 1.0669; 9.39979
151; 138; 604;0.763566; 1.0669; 9.39979
151; 138; 604;0.763566; 1.0669; 9.39979
152; 139; 604;0.763566; 1.0669; 9.39979
152; 139; 608;0.763566; 1.0669; 9.39979
152; 139; 608;0.763566; 1.0669; 9.39979
153; 140; 608;0.763566; 1.0669; 9.39979
153; 140; 612;0.763566; 1.0669; 9.39979
153; 140; 612;0.763566; 1.0669; 9.39979
154; 141; 612;0.763566; 1.0669; 9.39979
154; 141; 616;0.763566; 1.0669; 9.39979
154; 141; 616;0.763566; 1.0669; 9.39979
155; 142; 616;0.763566; 1.0669; 9.39979
155; 142; 620;0.763566; 1.0669; 9.39979
155; 142; 620;0.763566; 1.0669; 9.39979
156; 143; 620;0.763566; 1.0669; 9.39979
156; 143; 624;0.763566; 1.0669; 9.39979
156; 143; 624;0.763566; 1.0669; 9.39979
157; 144; 624;0.763566; 1.0669; 9.39979
157; 144; 628;0.763566; 1.0669; 9.39979
157; 144; 628;0.763566; 1.0669; 9.39979
158; 145; 628;0.763566; 1.0669; 9.39979
158; 145; 632;0.763566; 1.0669; 9.39979
158; 145; 632;0.763566; 1.0669; 9.39979
159; 146; 632;0.763566; 1.0669; 9.39979
159; 146; 636;0.763566; 1.0669; 9.39979
159; 146; 636;0.763566; 1.0669; 9.39979
160; 147; 636;0.763566; 1.0669; 9.39979
160; 147; 640;0.763566; 1.0669; 9.39979
160; 147; 640;0.763566; 1.0669; 9.39979
161; 148; 640;0.763566; 1.0669; 9.39979
161; 148; 644;0.763566; 1.0669; 9.39979
161; 148; 644;0.763566; 1.0669; 9.39979
162; 149; 644;0.763566; 1.0669; 9.39979
162; 149; 648;0.763566; 1.0669; 9.39979
162; 149; 648;0.763566; 1.0669; 9.39979
163; 150; 648;0.763566; 1.0669; 9.39979
163; 150; 652;0.763566; 1.0669; 9.39979
163; 150; 652;0.763566; 1.0669; 9.39979
